-30	-29	2422	2413
-29	-28	2582	2574
-28	-27	2753	2739
-27	-26	2868	2854
-26	-25	3154	3138
-25	-24	2968	2962
-24	-23	3270	3255
-23	-22	3544	3520
-22	-21	3798	3780
-21	-20	4043	4030
-20	-19	3922	3916
-19	-18	4114	4080
-18	-17	4415	4401
-17	-16	4332	4297
-16	-15	4482	4449
-15	-14	4516	4507
-14	-13	4515	4497
-13	-12	5113	5083
-12	-11	5325	5292
-11	-10	5324	5297
-10	-9	5532	5496
-9	-8	5489	5462
-8	-7	5550	5524
-7	-6	5273	5235
-6	-5	5278	5255
-5	-4	5773	5719
-4	-3	5873	5848
-3	-2	5870	5830
-2	-1	5878	5836
-1	0	5840	5828
0	1	6072	6014
1	2	5688	5642
2	3	6290	6266
3	4	6225	6196
4	5	6155	6116
5	6	5863	5805
6	7	5327	5312
7	8	5385	5348
8	9	5204	5177
9	10	5044	5019
10	11	4649	4627
11	12	4636	4604
12	13	4688	4645
13	14	4528	4502
14	15	4376	4350
15	16	4753	4734
16	17	4008	3983
17	18	3555	3543
18	19	3298	3282
19	20	3083	3072
20	21	3216	3197
21	22	3225	3201
22	23	3156	3145
23	24	2719	2698
24	25	2687	2660
25	26	2564	2552
26	27	2200	2196
27	28	2033	2029
28	29	1861	1843
29	30	1923	1917
30	31	1613	1607
