-20	-19	55	54
-19	-18	44	43
-18	-17	59	56
-17	-16	96	94
-16	-15	222	209
-15	-14	496	468
-14	-13	1107	1014
-13	-12	2240	2082
-12	-11	3732	3462
-11	-10	5272	4864
-10	-9	6859	6398
-9	-8	8306	7776
-8	-7	9035	8397
-7	-6	9813	9116
-6	-5	10386	9699
-5	-4	10946	10231
-4	-3	11554	10779
-3	-2	11980	11123
-2	-1	12792	11861
-1	0	13264	12382
0	1	13896	12924
1	2	14313	13334
2	3	14607	13518
3	4	14714	13667
4	5	14827	13842
5	6	14627	13611
6	7	14957	13949
7	8	14824	13802
8	9	14768	13718
9	10	14570	13561
10	11	13712	12753
11	12	12975	12076
12	13	12227	11287
13	14	10563	9701
14	15	9355	8692
15	16	8132	7515
16	17	7245	6686
17	18	6012	5586
18	19	5261	4872
19	20	4152	3845
20	21	3385	3094
