-20	-19	25	25
-19	-18	42	42
-18	-17	47	47
-17	-16	92	91
-16	-15	188	187
-15	-14	410	407
-14	-13	850	846
-13	-12	1879	1868
-12	-11	2924	2909
-11	-10	4421	4395
-10	-9	5461	5444
-9	-8	6575	6540
-8	-7	7571	7526
-7	-6	8195	8161
-6	-5	8470	8415
-5	-4	8994	8948
-4	-3	9424	9378
-3	-2	9915	9863
-2	-1	10736	10673
-1	0	10982	10929
0	1	11700	11637
1	2	11864	11801
2	3	12287	12198
3	4	11836	11770
4	5	12064	11985
5	6	12084	12005
6	7	12208	12143
7	8	12105	12030
8	9	12069	12006
9	10	11875	11803
10	11	11563	11507
11	12	10649	10588
12	13	9708	9656
13	14	8383	8341
14	15	7586	7551
15	16	6805	6774
16	17	5878	5856
17	18	4821	4789
18	19	4264	4241
19	20	3409	3380
20	21	2668	2654
